"filename", "language", "TypeScript JSX", "JSON with Comments", "JavaScript", "Ruby", "JSON", "Markdown", "Objective-C", "XML", "C++", "Objective-C++", "Gradle", "Batch", "JavaScript JSX", "Java Properties", "Kotlin", "Properties", "comment", "blank", "total"
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\.env", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 4
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\.eslintrc.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\.prettierrc.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\.watchmanconfig", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 55, 49, 257
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Authentification\Authcontext.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Custom\Btn.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Custom\Btn1.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Custom\Field.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Custom\constants.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Gemfile", "Ruby", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 9
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\README.md", "Markdown", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 80
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\AdminScreen.js", "JavaScript", 0, 0, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 255
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\AjoutEleve.js", "JavaScript", 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 186
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\Background.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\Background_AllScreen.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\Backgroundlog.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\DrawerContent.js", "JavaScript", 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 143
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\DrawerNavigation.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\EditUserScreen.js", "JavaScript", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 104
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\EleveScreen.js", "JavaScript", 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 174
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\EmploiTemps.js", "JavaScript", 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 144
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\EspaceE.js", "JavaScript", 0, 0, 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19, 219
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\GestionUser.js", "JavaScript", 0, 0, 288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43, 338
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\Login2Screen.js", "JavaScript", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 142
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\ParentScreen.js", "JavaScript", 0, 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 219
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\ProfesseurScreen.js", "JavaScript", 0, 0, 233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26, 260
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\ProfileView.js", "JavaScript", 0, 0, 406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 29, 450
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\Register2Screen.js", "JavaScript", 0, 0, 350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 34, 414
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\absence.js", "JavaScript", 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 164
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\ajoutclasse.js", "JavaScript", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 153
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\gererA.js", "JavaScript", 0, 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 198
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\Screens\style.js", "JavaScript", 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 125
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\__tests__\App.test.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 18
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 61, 11, 120
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\android\app\src\google-services.json", "JSON", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\android\app\src\main\java\com\ecolegestion\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 5, 23
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\android\app\src\main\java\com\ecolegestion\MainApplication.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 9, 44
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\android\app\src\main\res\drawable\rn_edit_text_material.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 23, 3, 38
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 10
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 26, 10, 42
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\android\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 30, 22, 93
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\app.json", "JSON", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\babel.config.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\index.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 10
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\ios\Podfile", "Ruby", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 41
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\ios\ecolegestionTests\ecolegestionTests.m", "Objective-C", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 67
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\ios\ecolegestion\AppDelegate.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\ios\ecolegestion\AppDelegate.mm", "Objective-C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 8, 32
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\ios\ecolegestion\Images.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\ios\ecolegestion\Images.xcassets\Contents.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\ios\ecolegestion\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 48
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\ios\ecolegestion\main.m", "Objective-C", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\jest.config.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\metro.config.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 12
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\package-lock.json", "JSON", 0, 0, 0, 0, 18621, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18622
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\package.json", "JSON", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 67
"c:\Users\Ouedraogo Khalil\Desktop\ALL FILES\APPMOBILES\ecolegestion\tsconfig.json", "JSON with Comments", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"Total", "-", 8, 3, 3488, 33, 18780, 49, 61, 100, 4, 22, 74, 41, 153, 13, 53, 1, 298, 539, 23720